"Feature_ID","Split","Range_time","Mzmine_ID","mass","RT","IL","Metabolite","NIST_Number","InChIKey","classyfireR_Superclass","classyfireR_Class","classyfireR_Subclass","Kegg_ID","Column","Ion_Mode","Flag","Detection_rate_Group_Blank","Detection_rate_Group_Callus","Detection_rate_Group_developing_meristem","Detection_rate_Group_leaf","Detection_rate_Group_undeveloped_explant","Detection_rate_Group_undeveloped_meristem","Detection_rate_QC","RSD","RSD_r","D_ratio","D_ratio_r","DC_note","Blank_ratio","MPA","Cluster_ID","Cluster_size","Cluster_features"
"Rtx5_EI_81_0372797923102a9_358749","Rtx5_EI","3-40min",1251,81.0372797923102,9.358749,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.111111111111111,0.333333333333333,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_95_0510941710461a9_366818","Rtx5_EI","3-40min",1252,95.0510941710461,9.366818,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,1,0,0,0,0,0.153846153846154,0.0604781746664286,0.063402688353509,0.0170864577516557,0.0160882147820737,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_111_059709006557a9_368751","Rtx5_EI","3-40min",1253,111.059709006557,9.368751,"Level: III","1H-Pyrrole-2-carboxylic acid","NIST#: 132747","WRHZVMBBRYBTKZ-UHFFFAOYSA-N","Organoheterocyclic compounds","Pyrroles","Pyrrole carboxylic acids and derivatives","-","Rtx5","EI","Low_qc_detection",0,0.444444444444444,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_59_0062702493937a9_37","Rtx5_EI","3-40min",1254,59.0062702493937,9.37,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,1,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_55_0020687840382a9_37","Rtx5_EI","3-40min",1255,55.0020687840382,9.37,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,1,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_79_0420859510627a9_371667","Rtx5_EI","3-40min",1256,79.0420859510627,9.371667,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_58_0277175307629a9_374001","Rtx5_EI","3-40min",1257,58.0277175307629,9.374001,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.555555555555556,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_78_031890508152a9_375833","Rtx5_EI","3-40min",1259,78.031890508152,9.375833,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_66_0107693360621a9_376666","Rtx5_EI","3-40min",1260,66.0107693360621,9.376666,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_141_047965109976a9_377501","Rtx5_EI","3-40min",1261,141.047965109976,9.377501,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_144_015604122903a9_378","Rtx5_EI","3-40min",1262,144.015604122903,9.378,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.555555555555556,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_69_0352039701366a9_407778","Rtx5_EI","3-40min",1268,69.0352039701366,9.407778,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0.333333333333333,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_85_0423500159085a9_409668","Rtx5_EI","3-40min",1269,85.0423500159085,9.409668,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_quality",0,1,0.555555555555556,0.111111111111111,0,0.222222222222222,1,0.682277764273934,0.766845831863868,0.591654389671864,1.1689830204634,"Drift_corrected",NA,NA,NA,NA,NA
"Rtx5_EI_109_060684643968a9_428572","Rtx5_EI","3-40min",1273,109.060684643968,9.428572,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.666666666666667,0,0,0,0,0.0769230769230769,NA,0,NA,0,"Missing_QCS",NA,NA,NA,NA,NA
"Rtx5_EI_126_046223196323a9_435999","Rtx5_EI","3-40min",1276,126.046223196323,9.435999,NA,NA,NA,NA,NA,NA,NA,NA,"Rtx5","EI","Low_qc_detection",0,0.555555555555556,0,0,0,0,0,NA,NA,NA,NA,"Missing_QCS",NA,NA,NA,NA,NA
